vault_name,vault_address,vault_symbol,vault_listed,vault_featured,vault_creation_timestamp,vault_creator_address,factory_address,deposit_asset_symbol,deposit_asset_address,deposit_asset_decimals,blockchain,chain_id,curator_address,curator_name,curator_verified,all_curator_names,curator_is_multisig,curator_multisig_threshold,curator_multisig_owners,owner,guardian,fee_recipient,timelock,market_id,market_id_short,collateral_symbol,collateral_address,loan_symbol,loan_address,lltv,supply_assets,supply_assets_usd,supply_shares,supply_cap,supply_cap_usd,supply_queue_index,withdraw_queue_index,enabled,removable_at,pending_supply_cap,pending_supply_cap_valid_at,pending_supply_cap_usd,vault_total_assets,vault_total_assets_usd,vault_total_supply_shares,vault_share_price,vault_share_price_usd,vault_apy,vault_net_apy,vault_fee,exposure_pct,exposure_status,discovery_method,has_public_allocator,public_allocator_admin,warning_types,warning_levels,state_timestamp,state_block_number
Adpend USDC,0x55555815a5595991C3A0Ff119B59AEF6C8B55555,adpUSDC,False,False,1754096411,0xC905771E5C7799D7858c788318F7c31107B417e7,0x1897A8997241C1cD4bD0698647e4EB7213535c24,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,ethereum,1,0xf630D85a72628d73d7c7ffDf8fb4974c2b68a997,0xf630D85a72628d73d7c7ffDf8fb4974c2b68a997,,,False,,,0xf630D85a72628d73d7c7ffDf8fb4974c2b68a997,0x0000000000000000000000000000000000000000,0x32ff3c4E24120e90B3Fc03bc930993F8470Eb530,1209600,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,0x0f95...b129,sdeUSD,0x5C5b196aBE0d54485975D1Ec29617D42D9198326,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0.915,2752185095592,2751905.084764943,426640927749853626,0,0.0,,17.0,True,,,,0.0,2752185245554,2751905.2347116857,774716660730320054468399,3.552505561138934,3.5521441246854435,2979.9566921718574,53.59813817511513,0.5,0.9999999455116619,STOPPED_SUPPLYING,current_allocation,True,0x0000000000000000000000000000000000000000,not_whitelisted,YELLOW,1770819167,24434049
1337 USDC,0x94643e86aa5E38DDAc6c7791C1297f4E40cD96c1,1337USDC,False,False,1761410987,0x1467b99d8FEC651CB85a4498BFf47094cBA95250,0x1897A8997241C1cD4bD0698647e4EB7213535c24,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,ethereum,1,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,False,,,0x1467b99d8FEC651CB85a4498BFf47094cBA95250,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,0x0f95...b129,sdeUSD,0x5C5b196aBE0d54485975D1Ec29617D42D9198326,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0.915,1467218158835,1467068.8821854072,227446663198433097,2000000000000,1999796.5174453522,,1.0,True,,,,0.0,1467218437967,1467069.161289008,238777711556431937393502,6.144704329386697,6.144079159319448,2979.9534664019548,2979.9534664025014,0.0,0.999999809754299,ACTIVE_DEPEG,current_allocation,True,0x0000000000000000000000000000000000000000,short_timelock|not_whitelisted,RED|YELLOW,1770819167,24434049
Not Gauntlet,0x3014ED70B39be395e1a5Eb8ab4c4b8a5378E6522,AUSD,False,False,1757605589,0x082bed4d8031682762043E376b003cfa65ebC4dd,0x878988f5f561081deEa117717052164ea1Ef0c82,USDC,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,6,Arbitrum,42161,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,False,,,0x082bed4d8031682762043E376b003cfa65ebC4dd,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0,0x9e90aec7d768403dacc9dd0d8320307fda3f980eed4df43e3e52168a1c667709,0x9e90...7709,xUSD,0x6eAf19b2FC24552925dB245F9Ff613157a7dbb4C,USDC,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,0.915,246344721722,246322.87892171484,35958141700032855,1000000000000,999911.3323795515,,9.0,True,,,,0.0,246344725147,246322.88234641115,35982472698547338955079,6.846242258139725,6.845635218129681,2979.9576570644836,2979.957657064528,0.0,0.9999999860967188,ACTIVE_DEPEG,current_allocation,True,0x0000000000000000000000000000000000000000,short_timelock|not_whitelisted,RED|YELLOW,1770819177,430991343
MEV Capital Elixir USDC,0x1265a81d42d513Df40d0031f8f2e1346954d665a,MC.eUSDC,False,False,1725636863,0x06590Fef209Ebc1f8eEF83dA05984cD4eFf0d0E3,0xA9c3D3a366466Fa809d1Ae982Fb2c46E5fC41101,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,ethereum,1,0x0000000000000000000000000000000000000000,MEV Capital,True,MEV Capital,False,,,0x38afC3aA2c76b4cA1F8e1DabA68e998e1F4782DB,0x0000000000000000000000000000000000000000,0xD4C848600D8b273776800dAF87667562A2272446,86400,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,0xbd1a...0c1f,deUSD,0x15700B564Ca08D9439C58cA5053166E8317aa138,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0.86,8334474627,8333.626666905626,3145504850630751,50000000000000,49994912.93613381,0.0,2.0,True,,,,0.0,8334474627,8333.626666905626,3444545056712612917062,2.419615504618945,2.4193693298468726,2979.9579868427436,1338.430764305501,0.1,1.0,ACTIVE_DEPEG,current_allocation,True,0x0000000000000000000000000000000000000000,short_timelock|not_whitelisted,RED|YELLOW,1770819167,24434049
Vaultik USDC,0x76B2406D29F1A2Be4DB638aBBD5c7Cab2eE2D8FE,vUSDC,False,False,1762089912,0x00000000CB0020FDd92ce1A5F2638Abfa637f966,0x878988f5f561081deEa117717052164ea1Ef0c82,USDC,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,6,Arbitrum,42161,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,False,,,0x00000000CB0020FDd92ce1A5F2638Abfa637f966,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0,0x9e90aec7d768403dacc9dd0d8320307fda3f980eed4df43e3e52168a1c667709,0x9e90...7709,xUSD,0x6eAf19b2FC24552925dB245F9Ff613157a7dbb4C,USDC,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,0.915,8291332622,8290.597449266059,1210258986771914,25000000000,24997.783309488786,,0.0,True,,,,0.0,8291332622,8290.597449266059,1230598550561405209239,6.73764211121475,6.737044700521315,2979.9579868427436,2979.9579868427436,0.0,1.0,ACTIVE_DEPEG,current_allocation,True,0x0000000000000000000000000000000000000000,short_timelock|not_whitelisted,RED|YELLOW,1770819177,430991343
RIMU USDC,0x38248d715336d4CAd20d3e12E8dc34DA596f9d6c,RIMUusdc,False,False,1750554587,0xA430C7425787337e5096f9AAd868b02BB1aB4c5F,0x1897A8997241C1cD4bD0698647e4EB7213535c24,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,ethereum,1,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,False,,,0xA430C7425787337e5096f9AAd868b02BB1aB4c5F,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,0xbd1a...0c1f,deUSD,0x15700B564Ca08D9439C58cA5053166E8317aa138,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0.86,1,9.99898258722676e-07,728574,5000000000000,4999491.293613381,2.0,0.0,True,,,,0.0,10202,0.010200962035488741,9997455888871775,1.02045756998897,1.0203537473323445,0.001794356781392158,0.0018464537272661278,0.0,9.801999607920014e-05,ACTIVE_DEPEG,current_allocation,True,0x0000000000000000000000000000000000000000,short_timelock|not_whitelisted,RED|YELLOW,1770819167,24434049
Gauntlet USDC Frontier,0xc582F04d8a82795aa2Ff9c8bb4c1c889fe7b754e,gtusdcf,True,True,1738059611,0xd79766D2FeC43886e995EA415a2Bf406280B2e2C,0x1897A8997241C1cD4bD0698647e4EB7213535c24,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,ethereum,1,0x9E33faAE38ff641094fa68c65c2cE600b3410585,Gauntlet,True,Gauntlet,True,3.0,7.0,0xC684c6587712e5E7BDf9fD64415F23Bd2b05fAec,0x7084bF4dB6c21e1834dD6482f6056a39A33584cD,0x34702F5F789196A723B8DF6334922f145A7db1b2,259200,0xeb0403429dabb5829047fb5c05dcaa816a41d164424341db7d10cc5dd86a967d,0xeb04...967d,deUSD,,sUSDS,,0.0,0,0.0,0,0,0.0,,,False,,,,0.0,189609135824675,189589844.74900392,177036823206264704410273250,1.071015240731936,1.0709062742733106,0.031159777847999434,0.032451912205124736,0.05,0.0,HISTORICALLY_EXPOSED,historical_reallocation,True,0x0a25cE895e3c96626d67b5589C44E0af87A3e13A,,,1770819167,24434049
Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,bbqUSDC,True,True,1733418911,0x0A0e559bc3b0950a7e448F0d4894db195b9cf8DD,0xA9c3D3a366466Fa809d1Ae982Fb2c46E5fC41101,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,ethereum,1,0x827e86072B06674a077f592A531dcE4590aDeCdB,Steakhouse Financial,True,Steakhouse Financial,True,2.0,5.0,0x0A0e559bc3b0950a7e448F0d4894db195b9cf8DD,0x94aa34975987119197e53e760AF1ee5aC80A27D3,0x255c7705e8BB334DfCae438197f7C4297988085a,259200,0xeb0403429dabb5829047fb5c05dcaa816a41d164424341db7d10cc5dd86a967d,0xeb04...967d,deUSD,,sUSDS,,0.0,0,0.0,0,0,0.0,,,False,,,,0.0,72908436754806,72901018.95732288,66544521756618549452494262,1.095633942963222,1.0955224717663856,0.0348917295541676,0.03776466491528241,0.0,0.0,HISTORICALLY_EXPOSED,historical_reallocation,True,0x9E9110cFd24cd851ea5bc73a27975B33E308f9e1,,,1770819167,24434049
Gauntlet USDC Core,0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,gtUSDCcore,True,True,1714594067,0xC684c6587712e5E7BDf9fD64415F23Bd2b05fAec,0xA9c3D3a366466Fa809d1Ae982Fb2c46E5fC41101,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,ethereum,1,0x9E33faAE38ff641094fa68c65c2cE600b3410585,Gauntlet,True,Gauntlet,True,3.0,7.0,0xC684c6587712e5E7BDf9fD64415F23Bd2b05fAec,0x7084bF4dB6c21e1834dD6482f6056a39A33584cD,0x34702F5F789196A723B8DF6334922f145A7db1b2,259200,0xeb0403429dabb5829047fb5c05dcaa816a41d164424341db7d10cc5dd86a967d,0xeb04...967d,deUSD,,sUSDS,,0.0,0,0.0,0,0,0.0,,,False,,,,0.0,30799992169021,30796858.538476158,26972606930339544650670913,1.141898973598142,1.1417827953379933,0.03249114167666717,0.033714728146750216,0.05,0.0,HISTORICALLY_EXPOSED,historical_reallocation,True,0xCc148f980062ba934E1B2f29eB3cbA7D8e9F6acb,,,1770819167,24434049
Hyperithm USDC Degen,0x777791C4d6DC2CE140D00D2828a7C93503c67777,hyperUSDCd,True,True,1740472571,0x16fa314141C76D4a0675f5e8e3CCBE4E0fA22C7c,0x1897A8997241C1cD4bD0698647e4EB7213535c24,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,ethereum,1,0x75178137D3B4B9A0F771E0e149b00fB8167BA325,Hyperithm,True,Hyperithm,False,,,0xEe7E9bb21D5589BF657b94083dB2fA349a3918C8,0x3C487BA7Ba5D436a9196C64b036fF4b53E5f8B1f,0x514272d916419Eb3048d8eaDEbBDfF1B116273cD,259200,0xeb0403429dabb5829047fb5c05dcaa816a41d164424341db7d10cc5dd86a967d,0xeb04...967d,deUSD,,sUSDS,,0.0,0,0.0,0,0,0.0,,,False,,,,0.0,24313746156947,24311272.445356466,22686341888786273897159260,1.071734979404725,1.0716259397189678,0.06357456047858315,0.05991226568073785,0.1,0.0,HISTORICALLY_EXPOSED,historical_reallocation,True,0x345e93f786e485B9f738B9A1A528c6EeF1C73C5f,,,1770819167,24434049
