vault_address,vault_name,chain,chain_id,curator_name,asset_symbol,listed,exposure_status,collateral_symbol,discovery_method,vault_tvl_usd,peak_price,peak_date,trough_price,trough_date,latest_price,latest_date,max_drawdown_pct,recovery_pct,depeg_start_price,depeg_end_price,depeg_drop_pct,tvl_at_peak_usd,tvl_at_trough_usd,tvl_pre_depeg_usd,tvl_pre_depeg_native,estimated_loss_usd,daily_data_points
0x0F359FD18BDa75e9c49bC027E7da59a4b01BF32a,Relend USDC,ethereum,1,B.Protocol,USDC,False,HISTORICALLY_EXPOSED,deUSD,historical_reallocation,63684.47465891912,1.09278,2025-11-03,0.017446,2025-11-14,0.017463,2026-01-31,0.9840352129431358,1.5809041655894497e-05,1.09278,1.095502,-0.002490894782115239,43251392.8481636,66381.63719781146,43251392.8481636,43264366.62047,42560893.571429886,153
0xd63070114470f685b75B74D60EEc7c1113d33a3D,MEV Capital USDC,ethereum,1,MEV Capital,USDC,True,HISTORICALLY_EXPOSED,deUSD,historical_reallocation,19151316.483866543,1.119264,2025-11-03,1.084258,2025-11-12,1.097681,2026-01-31,0.031275909883637903,0.3834485516768533,1.119264,1.121594,-0.002081725133659211,295487071.1945207,61379563.70552852,295487071.1945207,295575706.07374,9241627.010459928,153
0x1265a81d42d513Df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,ethereum,1,MEV Capital,USDC,False,ACTIVE_DEPEG,deUSD,current_allocation,8333.626666905626,1.065415,2025-11-03,1.065415,2025-11-04,1.92021,2026-01-31,0.0,,1.065415,1.065419,-3.7544055601741837e-06,3152.4511605903845,3152.5872294712035,3152.4511605903845,3153.396776,,153
0x4C289073eb6679393890b85eEC9D604271c18c28,Alpha USDC Core,Arbitrum,42161,AlphaPing,USDC,False,FULLY_EXITED,xUSD,current_allocation,0.0,1.0,2025-11-03,1.0,2025-11-04,1.0,2026-01-31,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,153
0xBA465FCb8D32B875Aed5ae9e2FB53ea303c2D312,Elixir Levered RWA vault,Plume,98866,0x0000000000000000000000000000000000000000,USDC,False,ACTIVE_DEPEG,xUSD|deUSD,current_allocation,0.0,1.016759,2025-11-03,1.016759,2025-11-04,1.01676,2026-01-13,0.0,,1.016759,1.016759,0.0,,,,2.209116,,111
0x889dd190bB6b0662DB3fE0AAc29eEDCa3D2ba22A,MEV Elixir sUSDS,ethereum,1,MEV Capital,sUSDS,False,FULLY_EXITED,deUSD,current_allocation,0.0,1.0,2025-11-03,1.0,2025-11-04,1.0,2026-01-31,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,153
0xbdbF0494Af9826ba25bcb810e23C36Bc6D8378fA,Dream Charity Vault,ethereum,1,0xA694312dEf4F67E8356fB79B7d54b3DCe79dad86,USDC,False,FULLY_EXITED,sdeUSD,current_allocation,0.0,1.0,2025-11-03,1.0,2025-11-04,1.0,2026-01-31,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,153
0x38248d715336d4CAd20d3e12E8dc34DA596f9d6c,RIMU USDC,ethereum,1,0x0000000000000000000000000000000000000000,USDC,False,ACTIVE_DEPEG,deUSD,current_allocation,0.0102009620354887,1.019557,2025-11-03,1.019557,2025-11-04,1.020457,2026-01-31,0.0,,1.019557,1.019657,-9.808181396428937e-05,0.010189943404666496,0.010190382908846383,0.010189943404666496,0.010193,,153
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,ethereum,1,Gauntlet,USDC,False,HISTORICALLY_EXPOSED,deUSD,historical_reallocation,3072.0952712996605,1.03818,2025-11-03,1.03818,2025-11-04,1.03818,2026-01-31,0.0,,1.03818,1.03818,0.0,4038.9432296972436,4039.1174800319427,4038.9432296972436,4040.154759,,153
0x0b14D0bdAf647c541d3887c5b1A4bd64068fCDA7,Mystic MEV Capital pUSD,Plume,98866,0x0000000000000000000000000000000000000000,pUSD,False,HISTORICALLY_EXPOSED,sdeUSD,historical_reallocation,0.0,1.014631,2025-11-03,1.014735,2025-11-04,1.051431,2026-01-13,-0.00010250031784942699,,1.014631,1.016471,-0.0018134671619533028,17542651.555980563,17033581.67230823,17542651.555980563,17547891.145092,,135
