vault_address,vault_name,chain,chain_id,curator_name,exposure_status,discovery_method,vault_tvl_usd,peak_toxic_supply_usd,peak_toxic_date,first_zero_alloc_ts,first_zero_alloc_date,alloc_at_depeg_usd,alloc_week_before_usd,first_cap_zero_ts,first_cap_zero_date,queue_removed_toxic_ts,queue_removed_toxic_date,total_admin_events,toxic_realloc_withdraw_count,toxic_realloc_supply_count,first_realloc_withdraw_ts,first_realloc_withdraw_date,last_realloc_withdraw_ts,last_realloc_withdraw_date,earliest_action_ts,earliest_action_date,response_class,days_vs_depeg
0xc582f04d8a82795aa2ff9c8bb4c1c889fe7b754e,Gauntlet USDC Frontier,ethereum,1,Gauntlet,HISTORICALLY_EXPOSED,historical_reallocation,189589844.74900392,0.0,2025-10-27,1761523200.0,2025-10-27,,,,,,,105,0,0,,,,,1761523200.0,2025-10-27,PROACTIVE,8.0
0xbeefff209270748ddd194831b3fa287a5386f5bc,Smokehouse USDC,ethereum,1,Steakhouse Financial,HISTORICALLY_EXPOSED,historical_reallocation,72901018.95732288,0.0,,,,,,,,,,1123,0,0,,,,,,,EXITED_TIMING_UNKNOWN,
0x8eb67a509616cd6a7c1b3c8c21d48ff57df3d458,Gauntlet USDC Core,ethereum,1,Gauntlet,HISTORICALLY_EXPOSED,historical_reallocation,30796858.53847616,104342.27718508456,2025-10-01,1759363200.0,2025-10-02,,0.0,,,,,142,0,0,,,,,1759363200.0,2025-10-02,PROACTIVE,33.0
0x777791c4d6dc2ce140d00d2828a7c93503c67777,Hyperithm USDC Degen,ethereum,1,Hyperithm,HISTORICALLY_EXPOSED,historical_reallocation,24311272.445356462,18524325.62945286,2025-10-30,1762041600.0,2025-11-02,,9995127.328414291,,,,,122,193,343,1759295459.0,2025-10-01,1761984479.0,2025-11-01,1759295459.0,2025-10-01,PROACTIVE,33.8
0xd63070114470f685b75b74d60eec7c1113d33a3d,MEV Capital USDC,ethereum,1,MEV Capital,HISTORICALLY_EXPOSED,historical_reallocation,19151316.483866543,6833628.632739954,2025-10-29,,,2592674.065068072,6833628.632739954,,,,,173,248,285,1759280135.0,2025-10-01,1762178339.0,2025-11-03,1759280135.0,2025-10-01,PROACTIVE,34.0
0x974c8fbf4fd795f66b85b73ebc988a51f1a040a9,Hakutora USDC,ethereum,1,Hakutora,HISTORICALLY_EXPOSED,historical_reallocation,17791532.995006528,9.99960523817385e-07,2025-11-08,1762560000.0,2025-11-08,0.0,0.0,,,,,47,1,0,1763128235.0,2025-11-14,1763128235.0,2025-11-14,1762560000.0,2025-11-08,SLOW_REACTOR,-4.0
0x4b6f1c9e5d470b97181786b26da0d0945a7cf027,Hyperithm USDC,Arbitrum,42161,Hyperithm,HISTORICALLY_EXPOSED,historical_reallocation,17527684.52759502,10000866.113668969,2025-10-19,1761696000.0,2025-10-29,,0.0,,,,,37,222,195,1759310828.0,2025-10-01,1761664600.0,2025-10-28,1759310828.0,2025-10-01,PROACTIVE,33.6
0x55555815a5595991c3a0ff119b59aef6c8b55555,Adpend USDC,ethereum,1,0xf630D85a72628d73d7c7ffDf8fb4974c2b68a997,STOPPED_SUPPLYING,current_allocation,2751905.2347116857,1500919.5925276948,2025-11-01,,,449538.4251323392,326153.34243486694,,,,,32,97,89,1759277723.0,2025-10-01,1762162463.0,2025-11-03,1759277723.0,2025-10-01,PROACTIVE,34.0
0x64ca76e2525fc6ab2179300c15e343d73e42f958,Clearstar High Yield USDC,Arbitrum,42161,Clearstar,HISTORICALLY_EXPOSED,historical_reallocation,1865258.5418277108,199993.523793572,2025-10-27,1761609600.0,2025-10-28,0.0,0.0,,,,,19,1,1,1762275930.0,2025-11-04,1762275930.0,2025-11-04,1761609600.0,2025-10-28,EARLY_REACTOR,7.0
0x94643e86aa5e38ddac6c7791c1297f4e40cd96c1,1337 USDC,ethereum,1,0x0000000000000000000000000000000000000000,ACTIVE_DEPEG,current_allocation,1467069.161289008,382880.5489932305,2025-11-01,,,239742.9156706245,,,,,,28,3,2,1761973751.0,2025-11-01,1762218323.0,2025-11-04,1761973751.0,2025-11-01,EARLY_REACTOR,2.8
