vault_address,vault_name,primary_chain,primary_chain_id,chains,n_toxic_markets,toxic_markets,collateral_types,n_collateral_types,total_supply_usd,risk_class
0x0404fD1a77756EB029F06b5CDea88B2B2ddC2fEE,Elixir USDC,ethereum,1,ethereum,2,deUSD/USDC | sdeUSD/USDC,"deUSD, sdeUSD",2,0.0,MODERATE
0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,Gauntlet USDC Core,ethereum,1,ethereum,2,deUSD/USDC | sdeUSD/USDC,"deUSD, sdeUSD",2,0.0,MODERATE
0xBA465FCb8D32B875Aed5ae9e2FB53ea303c2D312,Elixir Levered RWA vault,Plume,1,Plume,2,deUSD/USDC | xUSD/USDC,"deUSD, xUSD",2,0.0,MODERATE
0x55555815a5595991C3A0Ff119B59AEF6C8B55555,Adpend USDC,ethereum,1,ethereum,1,sdeUSD/USDC,sdeUSD,1,2877713.1305392208,SINGLE
0x94643e86aa5E38DDAc6c7791C1297f4E40cD96c1,1337 USDC,ethereum,1,ethereum,1,sdeUSD/USDC,sdeUSD,1,1534138.4443247877,SINGLE
0x3014ED70B39be395e1a5Eb8ab4c4b8a5378E6522,Not Gauntlet,Arbitrum,1,Arbitrum,1,xUSD/USDC,xUSD,1,257316.34893078377,SINGLE
0x1265a81d42d513Df40d0031f8f2e1346954d665a,MEV Capital Elixir USDC,ethereum,1,ethereum,1,deUSD/USDC,deUSD,1,8714.622336226446,SINGLE
0x76B2406D29F1A2Be4DB638aBBD5c7Cab2eE2D8FE,Vaultik USDC,Arbitrum,1,Arbitrum,1,xUSD/USDC,xUSD,1,8660.609503233893,SINGLE
0x38248d715336d4CAd20d3e12E8dc34DA596f9d6c,RIMU USDC,ethereum,1,ethereum,1,deUSD/USDC,deUSD,1,1.999812652054051e-06,SINGLE
0x0B6C8ef0DE1Be5ed1B59E6e7a67fB9442FB9E49C,Duplicated Key,ethereum,1,ethereum,1,deUSD/USDC,deUSD,1,0.0,SINGLE
