timestamp,date,datetime,supply_assets,supply_usd,borrow_assets,borrow_usd,collateral_assets,collateral_usd,liquidity_assets,liquidity_usd,utilization
1758830400,2025-09-25,2025-09-25 20:00,0,,0,,0,,0,,0
1758834000,2025-09-25,2025-09-25 21:00,0,,0,,0,,0,,0
1758837600,2025-09-25,2025-09-25 22:00,0,,0,,0,,0,,0
1758841200,2025-09-25,2025-09-25 23:00,0,,0,,0,,0,,0
1758844800,2025-09-26,2025-09-26 00:00,0,,0,,0,,0,,0
1758848400,2025-09-26,2025-09-26 01:00,0,,0,,0,,0,,0
1758852000,2025-09-26,2025-09-26 02:00,0,,0,,0,,0,,0
1758855600,2025-09-26,2025-09-26 03:00,0,,0,,0,,0,,0
1758859200,2025-09-26,2025-09-26 04:00,0,,0,,0,,0,,0
1758862800,2025-09-26,2025-09-26 05:00,0,,0,,0,,0,,0
1758866400,2025-09-26,2025-09-26 06:00,0,,0,,0,,0,,0
1758870000,2025-09-26,2025-09-26 07:00,0,,0,,0,,0,,0
1758873600,2025-09-26,2025-09-26 08:00,0,,0,,0,,0,,0
1758877200,2025-09-26,2025-09-26 09:00,0,,0,,0,,0,,0
1758880800,2025-09-26,2025-09-26 10:00,0,,0,,0,,0,,0
1758884400,2025-09-26,2025-09-26 11:00,0,,0,,0,,0,,0
1758888000,2025-09-26,2025-09-26 12:00,0,,0,,0,,0,,0
1758891600,2025-09-26,2025-09-26 13:00,0,,0,,0,,0,,0
1758895200,2025-09-26,2025-09-26 14:00,0,,0,,0,,0,,0
1758898800,2025-09-26,2025-09-26 15:00,0,,0,,0,,0,,0
1758902400,2025-09-26,2025-09-26 16:00,0,,0,,0,,0,,0
1758906000,2025-09-26,2025-09-26 17:00,0,,0,,0,,0,,0
1758909600,2025-09-26,2025-09-26 18:00,0,,0,,0,,0,,0
1758913200,2025-09-26,2025-09-26 19:00,0,,0,,0,,0,,0
1758916800,2025-09-26,2025-09-26 20:00,0,,0,,0,,0,,0
1758920400,2025-09-26,2025-09-26 21:00,0,,0,,0,,0,,0
1758924000,2025-09-26,2025-09-26 22:00,0,,0,,0,,0,,0
1758927600,2025-09-26,2025-09-26 23:00,0,,0,,0,,0,,0
1758931200,2025-09-27,2025-09-27 00:00,0,,0,,0,,0,,0
1758934800,2025-09-27,2025-09-27 01:00,0,,0,,0,,0,,0
1758938400,2025-09-27,2025-09-27 02:00,0,,0,,0,,0,,0
1758942000,2025-09-27,2025-09-27 03:00,0,,0,,0,,0,,0
