hash,timestamp,date,datetime,block_number,type,user_address,market_unique_key,assets,assets_usd,shares,seized_assets,seized_assets_usd,bad_debt_assets,bad_debt_assets_usd,liquidator
0x883db70bb493078ef3179e053b88a06b1d1b6f5931a1560c78264471fb18c098,1762442231,2025-11-06,2025-11-06 15:17,23741079,MarketSupplyCollateral,0xDE2BbA83ca819910CCfB456596FA9648Db18e4ad,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,180488390371749826307,179.62934994651508,,,,,,
0x883db70bb493078ef3179e053b88a06b1d1b6f5931a1560c78264471fb18c098,1762442231,2025-11-06,2025-11-06 15:17,23741079,MarketBorrow,0xDE2BbA83ca819910CCfB456596FA9648Db18e4ad,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,147459014,147.44713912560258,135951510849328,,,,,
0x6841e3421588bc5f5a56cdde5761df100b3b6ed1e6f3a7fd5efb87f44f0a798f,1762442579,2025-11-06,2025-11-06 15:22,23741108,MarketSupplyCollateral,0x0C9464a8e75fC4688b084623C1FBc2a70D93B6F6,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1077181405354866024563,1072.0545250574403,,,,,,
0xd96c5ea664f640725370554ae19ea757ceb1def6bc10465b3c5f3b24e30bb6bc,1762442699,2025-11-06,2025-11-06 15:24,23741118,MarketSupplyCollateral,0x0C9464a8e75fC4688b084623C1FBc2a70D93B6F6,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,4637322051855833211059,4615.250565157039,,,,,,
0xa1744a0a448a4771efdff5c4ce9e7a884261608d87b6382a600d3d118b58743a,1762442723,2025-11-06,2025-11-06 15:25,23741120,MarketBorrow,0x0C9464a8e75fC4688b084623C1FBc2a70D93B6F6,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,2887743450,2887.5109000199714,2662387824947004,,,,,
0xfb9327ad843a071735b03caee3078a2805a10c49254085f4044d84ba2110e95f,1762442855,2025-11-06,2025-11-06 15:27,23741131,MarketSupplyCollateral,0x0C9464a8e75fC4688b084623C1FBc2a70D93B6F6,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,2371888213881946824246,2360.599133982316,,,,,,
0x88ae621ca0d02438b691ef78a1c2ea33b1dc3ba512d51fee3aab46704a9a77ae,1762442963,2025-11-06,2025-11-06 15:29,23741139,MarketSupplyCollateral,0x7513e61B0f9c817C67cED9FEc76c5f2084bA116d,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,1000000000000000000,0.9952404671377179,,,,,,
0xe90c260852b00ed9cbb1fd9f605aba88fe573b4399f9ba7c27fc2cdc4e4a4949,1762442963,2025-11-06,2025-11-06 15:29,23741139,MarketSupplyCollateral,0xFabc88f604a25f177e2CA284256F2BCCb84Fd9C2,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,81133092406304120866,80.74693678677774,,,,,,
0x632fbb1a8d0682e737d4141849c41da87ea72e0ab7601a3a999d68fe5a762744,1762443347,2025-11-06,2025-11-06 15:35,23741171,MarketWithdrawCollateral,0xFabc88f604a25f177e2CA284256F2BCCb84Fd9C2,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,81133092406304120866,80.74693678677774,,,,,,
0xd911f22560e33b4521a7030db53c04ab57e0db2aee13acca1303f6a6a0eb4235,1762443563,2025-11-06,2025-11-06 15:39,23741189,MarketWithdrawCollateral,0x0C9464a8e75fC4688b084623C1FBc2a70D93B6F6,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,10000000000000000000,9.95240467137718,,,,,,
0xd9cdf61f8191e425fb84f4ce03fbd02b39a062d578e00f11520cd7ee7eca4ea6,1762443611,2025-11-06,2025-11-06 15:40,23741193,MarketWithdrawCollateral,0x0C9464a8e75fC4688b084623C1FBc2a70D93B6F6,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,4541821584189341286306,4520.20463510477,,,,,,
0xa4fef95901481f6c1a935d1c63c778d98bd3dd76d83cf2eb81cc9f5a28cea840,1762577663,2025-11-08,2025-11-08 04:54,23752286,MarketRepay,0x025f4b52478AF0849FB679eF0F3Cdf48a72786ba,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,120008985,119.98525446583946,110641531709769,,,,,
0x471e74d1734fafd35044b2b06b0a0438f3f40feb5bd36f98b83d5fe295a7139a,1762577723,2025-11-08,2025-11-08 04:55,23752291,MarketWithdrawCollateral,0x025f4b52478AF0849FB679eF0F3Cdf48a72786ba,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,225451801231503328140,7.039969980810649,,,,,,
0xe2ad5a35d2da16f3726a9bdb459375b94dd2d49796c22eb91f4efa5bb7b3bf16,1762606859,2025-11-08,2025-11-08 13:00,23754702,MarketSupplyCollateral,0xB2AE1e77414e97b0A9Ba29Da3138Bd7196dEA377,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,142799719477396329835,3.253689034197976,,,,,,
0xe2ad5a35d2da16f3726a9bdb459375b94dd2d49796c22eb91f4efa5bb7b3bf16,1762606859,2025-11-08,2025-11-08 13:00,23754702,MarketBorrow,0xB2AE1e77414e97b0A9Ba29Da3138Bd7196dEA377,0xbd1ad3b968f5f0552dbd8cf1989a62881407c5cccf9e49fb3657c8731caf0c1f,116667370,116.65550123815062,107560393733251,,,,,
