chain,collateral,loan,lltv,supply_usd,borrow_usd,liquidity_usd,utilization,bad_debt_usd,bad_debt_share,status,oracle_type,whitelisted,market_label
ethereum,sdeUSD,USDC,0.915,49814993.0,49814993,0.0,1.0,0.0,0.0,AT_RISK_100PCT_UTIL,VAULT_PLUS_FEED,False,sdeUSD/USDC (Ethereum-1)
ethereum,deUSD,sUSDS,0.86,0.0,0,0.0,0.0,0.0,0.0,HEALTHY,FEED_ONLY,False,deUSD/sUSDS (Ethereum-1)
ethereum,sdeUSD,USDC,0.86,0.0,0,0.0,0.0,0.0,0.0,HEALTHY,VAULT_PLUS_FEED,False,sdeUSD/USDC (Ethereum-2)
Plume,sdeUSD,USDC.e,0.915,0.0,0,0.0,0.0,0.0,0.0,HEALTHY,VAULT_PLUS_FEED,False,sdeUSD/USDC.e (Plume)
Plume,xUSD,USDC,0.92,0.0,0,0.0,1.0,0.0,0.0,AT_RISK_100PCT_UTIL,FEED_ONLY,False,xUSD/USDC (Plume-1)
Plume,sdeUSD,pUSD,0.915,373.0,373,0.05,1.0,244.55,0.6549,AT_RISK_100PCT_UTIL,VAULT_PLUS_FEED,False,sdeUSD/pUSD (Plume)
Plume,deUSD,USDC,0.86,0.0,0,0.0,0.0,0.0,0.0,HEALTHY,FEED_ONLY,False,deUSD/USDC (Plume)
Arbitrum,xUSD,USDC,0.915,0.0,0,0.0,0.999,0.0,0.0,AT_RISK_100PCT_UTIL,FEED_ONLY,False,xUSD/USDC (Arbitrum-1)
Arbitrum,xUSD,USDC,0.86,4476306.0,4476306,0.0,1.0,3636498.48,0.8174,AT_RISK_100PCT_UTIL,FEED_ONLY,False,xUSD/USDC (Arbitrum-2)
ethereum,deUSD,USDC,0.86,0.0,0,0.0,0.0,0.0,0.0,HEALTHY,FEED_ONLY,False,deUSD/USDC (Ethereum-1)
ethereum,deUSD,USDC,0.86,0.0,0,0.0,0.0,0.0,0.0,HEALTHY,UNKNOWN,False,deUSD/USDC (Ethereum-2)
ethereum,xUSD,USDC,0.77,0.1,0,0.0,0.0,0.0,0.0,HEALTHY,FEED_ONLY,False,xUSD/USDC (Ethereum-1)
ethereum,sdeUSD,USDC,0.915,0.0,0,0.0,0.0,0.0,0.0,HEALTHY,VAULT_PLUS_FEED,False,sdeUSD/USDC (Ethereum-3)
ethereum,deUSD,USDC,0.915,0.0,0,0.0,0.0,0.0,0.0,HEALTHY,FEED_ONLY,False,deUSD/USDC (Ethereum-3)
ethereum,deUSD,sUSDS,0.86,0.0,0,0.0,0.0,0.0,0.0,HEALTHY,FEED_ONLY,False,deUSD/sUSDS (Ethereum-2)
ethereum,deUSD,USDC,0.86,7809.0,7809,0.0,1.0,3511.45,0.4497,AT_RISK_100PCT_UTIL,FEED_ONLY,False,deUSD/USDC (Ethereum-4)
ethereum,xUSD,USDC,0.77,0.0,0,0.0,0.0,0.0,0.0,HEALTHY,UNKNOWN,False,xUSD/USDC (Ethereum-2)
Plume,xUSD,USDC,0.92,0.0,0,0.0,0.0,0.0,0.0,HEALTHY,FEED_ONLY,False,xUSD/USDC (Plume-2)
